HOME_TEAM_ID,VISITOR_TEAM_ID,SCORE_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,SCORE_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
46,47,132,0.548,0.867,0.63,32,46,111,0.488,0.773,0.343,26,36,1
39,66,98,0.468,0.667,0.323,21,37,119,0.506,0.727,0.447,32,45,0
53,54,114,0.454,0.8,0.313,22,52,122,0.436,0.8,0.324,23,54,0
55,52,123,0.52,0.848,0.472,24,43,108,0.429,0.688,0.286,20,40,1
45,62,127,0.5,0.667,0.412,27,34,132,0.549,0.708,0.357,32,49,0
49,48,120,0.451,0.889,0.389,22,52,119,0.454,0.833,0.477,28,48,1
40,58,125,0.591,0.833,0.379,30,50,95,0.393,0.68,0.229,20,38,1
43,60,107,0.444,0.882,0.261,25,47,119,0.506,0.714,0.552,24,50,0
56,57,120,0.5,0.839,0.389,32,46,90,0.385,0.76,0.355,22,35,1
64,65,116,0.5,0.808,0.5,29,42,113,0.478,0.826,0.296,23,43,1
38,37,107,0.47,0.947,0.314,27,47,98,0.434,0.792,0.226,15,37,1
61,51,109,0.456,0.87,0.304,27,48,108,0.5,0.737,0.4,21,37,1
45,46,100,0.396,0.647,0.333,21,45,113,0.438,0.941,0.419,24,55,0
50,44,129,0.528,0.826,0.4,27,42,114,0.456,0.864,0.289,26,40,1
47,42,104,0.451,0.8,0.412,22,37,109,0.5,0.63,0.286,24,45,0
39,50,122,0.527,0.853,0.405,29,38,127,0.547,0.789,0.429,30,31,0
53,54,119,0.469,0.773,0.324,29,39,103,0.486,0.72,0.417,22,39,1
51,61,97,0.384,0.792,0.343,23,45,133,0.515,0.591,0.474,35,47,0
48,41,112,0.494,0.769,0.387,28,39,99,0.488,0.667,0.241,23,38,1
63,59,118,0.539,0.579,0.423,24,55,105,0.414,0.737,0.281,30,38,1
49,66,130,0.44,0.865,0.4,25,62,106,0.387,0.625,0.359,22,40,1
